PAYMENT_ID,ID_GINR_REQUEST,ID_CHANGE_REQUEST,TRANS_ID,PAYMENT_STATUS,FAILURE_ROOT_CAUSE,ACCOUNT_TYPE,ACCOUNT_NUMBER,TOTAL_AMOUNT,SS_FEE,FIS_FEE,ANALYSIS_FEE,AUTHORIZATION,DATE_PAID,PAYER_NAME,CITY,STATE,PRIOR_ATTEMPTS_SAME_REQUEST,TOTAL_FAILURES_SAME_CARD,GINR_REQUEST_ID,PROJECT_NAME,ID_APPLICATION_STATUS,ID_PROJECT_TYPE,ID_FUEL_TYPE,ID_APPLICATION_SIZE,MAX_GEN_MW,POI_VOLTAGE,SUBMIT_DATE,FIS_FEE_PAID,SS_FEE_PAID,ANALYSIS_FEE_PAID,DAYS_SUBMIT_TO_PAY,CHANGE_REQUEST_TYPE,ERCOT_ACCEPTED,ERCOT_COMMENT
10041,15110,,85799974126,SUCCESS,AUTHORIZED,MasterCard,XXXX7402,18708.25,3887.77,4085.18,10735.3,QA5LDV,11-May-23 12.00.00 AM,Lisa Thomas,Chicago,CO,5,12,16485,GreenGrid,APR,NS,SOL,MD,62.75,115,06-Apr-23,0,0,1,35,Voltage Change,N,Bank verification pending
10042,19866,,55480383011,SUCCESS,AUTHORIZED,AmericanExpress,XXXX7827,2637.82,1057.49,519.45,1060.88,3894BG,16-Jan-24 12.00.00 AM,Alan Conway,Austin,CA,1,4,13615,EnergyPlus,PLN,UPG,BAT,LG,476.13,69,02-Jan-24,1,1,1,14,Capacity Update,,Payment processed successfully
10043,11131,,74061633255,FAILED,INSUFFICIENT_FUNDS,MasterCard,XXXX4254,37502.94,16817.73,11404.21,9281.0,DJZ8MY,03-Nov-24 12.00.00 AM,Jodi Johnson,Seattle,AZ,2,20,10014,ERCOT Solar,SUB,UPG,BIO,SM,14.13,345,05-Oct-24,1,0,1,29,Voltage Change,N,Bank verification pending
10044,15905,825,70139940772,FAILED,INSUFFICIENT_FUNDS,eCheck,XXXX7503,45955.49,9781.01,22909.8,13264.68,N8ENTC,30-Aug-24 12.00.00 AM,Jordan Carter,Miami,GA,2,10,19211,GreenGrid,APR,NS,SOL,MD,435.87,69,10-Aug-24,0,0,1,20,Voltage Change,Y,
10045,15812,389,82454774455,FAILED,CARD_EXPIRED,MasterCard,XXXX2242,37535.94,18349.87,4130.45,15055.62,20C0LZ,20-Jul-25 12.00.00 AM,Mary Allen,Chicago,WA,5,7,17141,SolarEdge,SUB,NS,BIO,LG,253.3,345,10-Jun-25,0,1,0,40,Capacity Update,,Bank verification pending
10046,14200,564,56680828818,SUCCESS,AUTHORIZED,AmericanExpress,XXXX8420,16183.59,8634.33,4654.21,2895.05,HY15RW,13-Jan-25 12.00.00 AM,Scott Frazier,Houston,FL,3,3,18037,GreenGrid,SUB,UPG,BAT,MD,69.98,69,01-Dec-24,1,1,1,43,,Y,
10047,9961,,53753747217,SUCCESS,AUTHORIZED,MasterCard,XXXX8414,21540.52,4948.94,9921.53,6670.05,OQUSZ8,04-Nov-24 12.00.00 AM,Amanda Koch,Houston,TX,5,18,13185,ERCOT Solar,SUB,NS,WND,LG,386.88,69,19-Sep-24,0,1,0,46,Capacity Update,N,Payment processed successfully
10048,11029,,46023756136,FAILED,BANK_DECLINED,eCheck,XXXX6333,31041.69,11013.34,13623.77,6404.58,TOG19L,19-Sep-25 12.00.00 AM,Allen Watson,Denver,IL,5,19,17896,WindFlow,PLN,UPG,BAT,SM,456.62,115,04-Sep-25,0,1,1,15,Ownership Change,,Bank verification pending
10049,15720,844,55243750891,FAILED,ECHECK_NOT_SUPPORTED,Discover,XXXX7353,34314.09,9590.75,3826.97,20896.37,ELBFRM,28-Oct-25 12.00.00 AM,Dillon Turner,Miami,UT,1,8,11424,Claire BESS,PLN,NS,BAT,MD,122.72,115,17-Oct-25,0,0,1,11,Capacity Update,N,
10050,17638,,66351179476,FAILED,NETWORK_TIMEOUT,MasterCard,XXXX4509,27274.3,7933.75,4291.09,15049.46,Y25FDS,31-May-24 12.00.00 AM,James Higgins,Dallas,FL,2,18,14150,PowerSync,APR,NS,WND,LG,254.73,69,28-May-24,1,1,1,3,Capacity Update,Y,Payment processed successfully
10051,18546,284,70770233408,FAILED,CARD_EXPIRED,AmericanExpress,XXXX7532,44759.33,12084.37,20844.13,11830.83,6IG59S,22-Apr-23 12.00.00 AM,Dr. Cassandra Chavez MD,Austin,CA,4,1,15770,ERCOT Solar,SUB,NS,WND,SM,491.13,138,21-Feb-23,1,1,1,60,,Y,
10052,15893,595,78678142581,SUCCESS,AUTHORIZED,MasterCard,XXXX2068,31271.52,15809.01,8286.26,7176.25,TRE78X,21-Dec-23 12.00.00 AM,Melissa Crosby,Austin,CA,1,0,14058,BatteryMax,APR,NS,WND,MD,135.76,345,17-Dec-23,0,0,0,4,Voltage Change,Y,Retry required
10053,17027,875,86557049125,SUCCESS,AUTHORIZED,AmericanExpress,XXXX9836,45226.01,26134.6,16212.66,2878.75,NBYV85,16-Dec-24 12.00.00 AM,Rebecca Campbell,Moab,CA,5,19,12521,GreenGrid,SUB,NS,BAT,MD,271.9,345,21-Nov-24,0,1,0,25,Capacity Update,,Bank verification pending
10054,19491,272,60346655074,SUCCESS,AUTHORIZED,Visa,XXXX8335,42697.51,9108.22,10143.06,23446.23,C9B1LV,29-May-24 12.00.00 AM,Caitlin Richards,Seattle,CO,4,4,10452,ERCOT Solar,SUB,UPG,WND,SM,499.72,115,22-Apr-24,0,1,0,37,,Y,Payment processed successfully
10055,11759,,86440723679,SUCCESS,AUTHORIZED,Visa,XXXX8894,13165.78,7038.2,6479.81,-352.23,9B5WUN,17-Nov-25 12.00.00 AM,Leah Jackson,Moab,WA,1,20,16913,ERCOT Solar,SUB,NS,SOL,SM,163.54,69,11-Nov-25,1,0,0,6,Voltage Change,,ERCOT accepted
10056,18053,,49921014132,SUCCESS,AUTHORIZED,Discover,XXXX6983,15631.11,8917.2,6105.9,608.01,Q0TA1L,05-Oct-23 12.00.00 AM,James Smith,Denver,TX,5,1,13619,SolarEdge,SUB,NS,BAT,MD,225.14,115,21-Aug-23,1,1,1,45,Voltage Change,,Retry required
10057,9626,842,87130583161,SUCCESS,AUTHORIZED,Visa,XXXX6510,18366.48,4841.16,6591.75,6933.57,QFH653,20-Apr-23 12.00.00 AM,Patrick Hunt,Houston,FL,1,7,18299,ERCOT Solar,APR,UPG,BIO,LG,36.77,115,28-Mar-23,0,0,0,23,Voltage Change,Y,Bank verification pending
10058,15553,,77794455910,SUCCESS,AUTHORIZED,Visa,XXXX6986,40383.97,12785.41,17862.95,9735.61,1H8NCQ,23-Jun-23 12.00.00 AM,Ryan Ross,Seattle,WA,4,10,9849,PowerSync,SUB,NS,BIO,SM,75.39,230,23-May-23,0,0,0,31,,Y,Retry required
10059,17804,,65384331073,FAILED,CARD_EXPIRED,Visa,XXXX8045,41470.63,18548.37,14743.22,8179.04,DVBIKE,06-May-25 12.00.00 AM,Timothy Colon,Miami,NY,3,19,9023,EnergyPlus,SUB,UPG,SOL,MD,301.0,345,28-Apr-25,0,1,1,8,Ownership Change,,Retry required
10060,18710,645,55911928861,FAILED,NETWORK_TIMEOUT,eCheck,XXXX4543,36797.07,12902.4,13501.33,10393.34,NX4FYH,25-Feb-23 12.00.00 AM,Diana Valdez,Moab,WA,2,12,18206,SolarEdge,PLN,UPG,BIO,MD,424.43,138,02-Jan-23,1,0,0,54,Capacity Update,N,ERCOT accepted
10061,11787,,89296290838,FAILED,CARD_EXPIRED,eCheck,XXXX8781,33374.68,12321.42,16536.29,4516.97,5IYJLM,21-Sep-24 12.00.00 AM,Ms. Theresa Jacobs DDS,Austin,NY,4,9,15380,PowerSync,PLN,NS,WND,LG,190.64,345,12-Sep-24,1,1,0,9,,N,ERCOT accepted
10062,13283,,83209057983,SUCCESS,AUTHORIZED,MasterCard,XXXX8113,30470.62,8619.67,3771.09,18079.86,HWEP7D,19-Sep-23 12.00.00 AM,Andrew Alvarez,Moab,UT,3,8,16740,PowerSync,SUB,UPG,BAT,LG,307.26,138,19-Aug-23,1,0,0,31,Capacity Update,Y,ERCOT accepted
10063,12945,,78793108776,SUCCESS,AUTHORIZED,eCheck,XXXX3480,14502.21,5731.47,3261.26,5509.48,BG7SMK,02-Apr-24 12.00.00 AM,Kristy Moore,Austin,IL,2,6,10483,GreenGrid,APR,UPG,SOL,MD,426.4,115,22-Feb-24,1,1,1,40,Voltage Change,Y,
10064,16498,968,73671854739,SUCCESS,AUTHORIZED,Discover,XXXX7691,44044.41,22511.18,19512.84,2020.39,58IY6L,07-Oct-23 12.00.00 AM,Jerome Le,Chicago,CO,3,7,9458,Claire BESS,PLN,NS,WND,MD,415.97,230,08-Sep-23,0,0,0,29,Capacity Update,,Payment processed successfully
10065,9909,,83516898766,SUCCESS,AUTHORIZED,AmericanExpress,XXXX6154,7455.19,3034.68,2454.76,1965.75,099OZ1,01-Aug-25 12.00.00 AM,Melissa Webster,Seattle,GA,1,20,18784,BatteryMax,SUB,NS,WND,LG,82.27,230,19-Jul-25,0,1,1,13,Voltage Change,,ERCOT accepted
10066,10022,,80104784148,SUCCESS,AUTHORIZED,Visa,XXXX5103,9305.66,2994.03,1463.49,4848.14,U1YNFH,25-Oct-24 12.00.00 AM,Stephen Deleon,Miami,AZ,0,18,16517,BatteryMax,SUB,NS,BAT,LG,363.79,138,30-Aug-24,1,0,1,56,Capacity Update,,Retry required
10067,17067,600,54639478457,SUCCESS,AUTHORIZED,MasterCard,XXXX9176,4562.98,1674.13,1555.75,1333.1,B74MCW,13-Aug-23 12.00.00 AM,John Fuentes,Austin,UT,4,7,15225,Claire BESS,APR,NS,BIO,LG,298.38,345,08-Jul-23,0,1,1,36,Voltage Change,Y,Payment processed successfully
10068,18184,306,78927280115,SUCCESS,AUTHORIZED,eCheck,XXXX2743,18827.94,6805.57,2565.24,9457.13,30IOQN,22-Apr-25 12.00.00 AM,Gina Luna,Chicago,TX,5,19,18593,Claire BESS,APR,NS,SOL,LG,255.4,345,09-Mar-25,1,1,0,44,Voltage Change,Y,Retry required
10069,12937,357,81306403750,SUCCESS,AUTHORIZED,Discover,XXXX7672,30755.29,12671.1,11753.01,6331.18,7F7HGJ,08-Mar-26 12.00.00 AM,Michael Olson,Moab,AZ,5,2,9144,WindFlow,SUB,NS,BIO,MD,206.13,115,02-Feb-26,0,1,0,34,Ownership Change,,Retry required
10070,9690,,65075566820,SUCCESS,AUTHORIZED,MasterCard,XXXX6826,15688.24,9135.57,1895.35,4657.32,NHR323,27-Mar-26 12.00.00 AM,Tony Costa,Miami,NY,1,6,13786,WindFlow,SUB,NS,BIO,LG,235.52,69,08-Feb-26,0,1,1,47,Voltage Change,N,Payment processed successfully
10071,19974,581,78322192829,SUCCESS,AUTHORIZED,MasterCard,XXXX3758,47214.16,12758.89,12440.52,22014.75,DS27JQ,08-May-24 12.00.00 AM,Kim Harvey,Austin,GA,4,14,18406,WindFlow,SUB,NS,BIO,SM,307.41,138,15-Apr-24,1,1,1,23,Ownership Change,N,Payment processed successfully
10072,12096,,68788051322,FAILED,NETWORK_TIMEOUT,Discover,XXXX6021,27223.71,6456.98,8333.0,12433.73,JR3FH8,09-Mar-26 12.00.00 AM,Kirk Murray,Dallas,CA,0,5,11461,EnergyPlus,PLN,NS,BIO,SM,13.04,138,10-Feb-26,0,1,0,27,Voltage Change,N,Payment processed successfully
10073,13042,,72332853639,SUCCESS,AUTHORIZED,MasterCard,XXXX3447,2856.15,1366.69,812.62,676.84,KLH93M,27-Feb-23 12.00.00 AM,Crystal Gibson,Dallas,NY,3,17,14360,SolarEdge,SUB,NS,WND,LG,484.03,345,11-Jan-23,1,0,1,47,Capacity Update,Y,
10074,17535,,62120249691,SUCCESS,AUTHORIZED,eCheck,XXXX3369,39551.61,22915.33,8450.12,8186.16,G02P0N,17-May-24 12.00.00 AM,Nicholas Burke,Miami,WA,1,18,15683,ERCOT Solar,SUB,NS,WND,SM,497.33,345,30-Apr-24,1,1,0,17,,,Retry required
10075,17160,,65169630044,SUCCESS,AUTHORIZED,Discover,XXXX5011,25414.48,11930.5,4352.59,9131.39,YI0JUZ,11-Mar-25 12.00.00 AM,Brianna Garcia,Miami,NY,1,16,10534,WindFlow,APR,UPG,WND,SM,335.51,69,27-Jan-25,1,1,0,43,Ownership Change,N,Payment processed successfully
10076,13851,,70902725773,SUCCESS,AUTHORIZED,eCheck,XXXX1128,21698.45,10707.3,2262.94,8728.21,ZG2593,16-Jan-23 12.00.00 AM,Kevin Castro,Chicago,UT,5,16,13673,ERCOT Solar,SUB,NS,BAT,MD,266.39,138,14-Jan-23,1,1,0,2,Capacity Update,Y,ERCOT accepted
10077,19204,,45128945973,SUCCESS,AUTHORIZED,eCheck,XXXX6674,9149.22,2583.49,3914.53,2651.2,SL7IUH,22-Nov-24 12.00.00 AM,Joseph Roberts,Houston,CO,2,4,13755,SolarEdge,SUB,UPG,WND,SM,278.02,230,25-Oct-24,0,1,1,28,Voltage Change,,Payment processed successfully
10078,15412,455,51720497427,SUCCESS,AUTHORIZED,AmericanExpress,XXXX5998,8822.68,3733.54,3934.3,1154.84,70MDK6,05-May-23 12.00.00 AM,Tara Donovan,Dallas,CA,3,20,10220,GreenGrid,SUB,UPG,SOL,SM,261.68,138,07-Apr-23,0,1,1,28,Ownership Change,N,Retry required
10079,15522,199,55309635980,SUCCESS,AUTHORIZED,Discover,XXXX7029,15604.85,3180.23,7430.4,4994.22,SFNC6D,21-May-25 12.00.00 AM,Alison Johnston,Denver,CO,0,19,16034,GreenGrid,PLN,UPG,BAT,LG,334.14,230,10-May-25,1,0,0,11,Voltage Change,,
10080,12960,307,72159564374,SUCCESS,AUTHORIZED,MasterCard,XXXX7780,32669.13,18352.62,6563.24,7753.27,WOCDRD,11-Jul-23 12.00.00 AM,Rick Bond,Miami,CO,1,13,14574,SolarEdge,SUB,NS,BIO,MD,239.18,230,10-Jul-23,1,0,1,1,Voltage Change,Y,
